GeneID	GeneName	CHR	Start	End	upper	AIMs
IV00_00004943	SVIL	chr2	133743782	133760895	CHECK	---
IV00_00012227	KIF25	chr3	39523874	39541141	---	CHECK
IV00_00012229	FRMD1	chr3	39554122	39585533	---	CHECK
IV00_00013167	HBS1L	chr3	56785560	56802192	---	CHECK
IV00_00013168	ALDH8A1	chr3	56805141	56816175	---	CHECK
IV00_00014445	SOX11	chr3	95677074	95678285	CHECK	---
IV00_00014464	CMPK2	chr3	96142874	96149382	CHECK	---
IV00_00014465	RSAD2	chr3	96156609	96162680	CHECK	---
IV00_00014519	TAF1B	chr3	97560365	97565621	CHECK	---
IV00_00014522	TAF1B	chr3	97586951	97605894	CHECK	---
IV00_00014524	GRHL1	chr3	97613889	97625589	CHECK	---
IV00_00014533	KLF11	chr3	97668257	97677767	CHECK	---
IV00_00014573	ATP6V1C2	chr3	98151215	98168924	CHECK	---
IV00_00015269	SLC4A4	chr4	2222621	2250286	CHECK	---
IV00_00015272	Unknown	chr4	2251402	2251632	CHECK	---
IV00_00015273	ADAMTS3	chr4	2260249	2279386	CHECK	---
IV00_00015282	COX18	chr4	2371739	2375503	CHECK	---
IV00_00015283	ANKRD17	chr4	2378051	2392739	CHECK	---
IV00_00015286	ANKRD17	chr4	2403398	2409253	CHECK	---
IV00_00015290	ALB	chr4	2460948	2470560	CHECK	---
IV00_00015292	G3BP2	chr4	2476183	2491316	CHECK	---
IV00_00015540	CCRN4L	chr4	9565159	9570619	CHECK	---
IV00_00015541	ELF2	chr4	9575524	9583873	CHECK	---
IV00_00015545	MGARP	chr4	9637648	9642062	CHECK	---
IV00_00015549	NAA15	chr4	9662180	9685533	CHECK	---
IV00_00015550	RAB33B	chr4	9699328	9699726	CHECK	---
IV00_00015551	Unknown	chr4	9709478	9713611	CHECK	---
IV00_00015553	SETD7	chr4	9722394	9730589	CHECK	CHECK
IV00_00016208	ELOVL6	chr4	24870115	24878438	CHECK	---
IV00_00016529	Unknown	chr4	30027209	30030729	CHECK	---
IV00_00016532	TMEM144	chr4	30037009	30046153	CHECK	---
IV00_00016533	RXFP1	chr4	30100039	30148244	CHECK	---
IV00_00016534	ETFDH	chr4	30151069	30167685	CHECK	---
IV00_00016535	PPID	chr4	30168523	30182668	CHECK	---
IV00_00016538	FNIP2	chr4	30211054	30238071	CHECK	---
IV00_00016545	RAPGEF6	chr4	30388381	30394670	CHECK	---
IV00_00016547	RAPGEF2	chr4	30445997	30452620	CHECK	---
IV00_00016548	RAPGEF2	chr4	30457144	30476124	CHECK	---
IV00_00016590	TLL1	chr4	32138113	32146149	---	CHECK
IV00_00016591	TLL1	chr4	32163869	32165909	---	CHECK
IV00_00016598	ANXA10	chr4	32792501	32824215	CHECK	---
IV00_00016599	Unknown	chr4	32826470	32833547	CHECK	---
IV00_00016602	PALLD	chr4	32856794	32859994	CHECK	---
IV00_00016607	CBR4	chr4	33051405	33055444	CHECK	---
IV00_00016609	SH3RF1	chr4	33083045	33091962	CHECK	---
IV00_00016614	NEK1	chr4	33173713	33211071	CHECK	---
IV00_00016615	NEK1	chr4	33215420	33222829	CHECK	---
IV00_00016619	CLCN3	chr4	33261708	33277875	CHECK	---
IV00_00016620	C4ORF27	chr4	33286656	33295561	CHECK	---
IV00_00016623	MFAP3L	chr4	33357800	33361770	CHECK	---
IV00_00016626	AADAT	chr4	33402418	33415890	CHECK	---
IV00_00016843	LONRF1	chr4	42798441	42815796	CHECK	---
IV00_00016844	AIRC	chr4	42824480	42833787	CHECK	---
IV00_00016847	PPAT	chr4	42866122	42876246	CHECK	---
IV00_00016848	AASDH	chr4	42878649	42893834	CHECK	---
IV00_00016849	Unknown	chr4	42893942	42894192	CHECK	---
IV00_00016850	KIAA1211	chr4	42896848	42911040	CHECK	---
IV00_00016857	CEP135	chr4	43055293	43058764	CHECK	---
IV00_00016859	EXOC1	chr4	43065355	43074256	CHECK	---
IV00_00016860	EXOC1	chr4	43075511	43084492	CHECK	---
IV00_00016861	EXOC1	chr4	43085238	43087889	CHECK	---
IV00_00016933	SPATA18	chr4	44337429	44343743	CHECK	---
IV00_00016936	SGCB	chr4	44351272	44357539	CHECK	---
IV00_00016937	LRRC66	chr4	44358693	44366585	CHECK	---
IV00_00016939	DCUN1D4	chr4	44373644	44375711	CHECK	---
IV00_00016944	OCIAD1	chr4	44471767	44487235	CHECK	---
IV00_00016948	FRYL	chr4	44565997	44573940	CHECK	---
IV00_00016949	FRYL	chr4	44579930	44637179	CHECK	---
IV00_00016950	FRYL	chr4	44645363	44648005	CHECK	---
IV00_00016951	ZAR1	chr4	44652716	44654107	CHECK	---
IV00_00016952	SLC10A4	chr4	44654767	44656888	CHECK	---
IV00_00017235	PPARGC1A	chr4	52751387	52755153	---	CHECK
IV00_00017578	LETM1	chr4	62143736	62165362	CHECK	---
IV00_00017586	FGFR3	chr4	62243707	62266246	CHECK	---
IV00_00017621	TACC3	chr4	62716291	62735964	CHECK	---
IV00_00017622	TMEM129	chr4	62737638	62744564	CHECK	---
IV00_00017625	SLBP	chr4	62765037	62768815	CHECK	---
IV00_00017630	FAM53A	chr4	62826666	62835446	CHECK	---
IV00_00017987	ADAM33	chr4	69873053	69882508	CHECK	---
IV00_00024149	SUV420H1	chr5	17022428	17031480	---	CHECK
IV00_00024646	TMEM229B	chr5	28400158	28400661	---	CHECK
IV00_00024661	ATP6V1D	chr5	28634779	28641809	---	CHECK
IV00_00024662	MPP5	chr5	28645966	28671047	---	CHECK
IV00_00024679	SRP14	chr5	29143480	29146513	CHECK	---
IV00_00024680	EIF2AK4	chr5	29156167	29183945	CHECK	---
IV00_00024682	GPR176	chr5	29218675	29220979	CHECK	---
IV00_00024684	Unknown	chr5	29227471	29230526	CHECK	---
IV00_00024685	FSIP1	chr5	29291350	29292495	CHECK	---
IV00_00024687	THBS1	chr5	29304177	29317880	CHECK	---
IV00_00032281	BBIP1	chr6	9711342	9711637	CHECK	---
IV00_00032282	PDCD4	chr6	9712266	9730613	CHECK	---
IV00_00032285	RBM20	chr6	9744922	9766615	CHECK	---
IV00_00032294	SMC3	chr6	9868258	9889926	CHECK	---
IV00_00032297	DUSP5	chr6	9904638	9909374	CHECK	---
IV00_00029547	GBX2	chr7	707142	708172	---	CHECK
IV00_00029548	ASB18	chr7	723558	725961	---	CHECK
IV00_00029559	ACKR3	chr7	888323	889417	---	CHECK
IV00_00029567	COPS8	chr7	999580	1015783	---	CHECK
IV00_00029830	COL3A1	chr7	6083863	6114881	CHECK	---
IV00_00029831	COL5A2	chr7	6126090	6175345	CHECK	---
IV00_00029838	WDR75	chr7	6288667	6323115	CHECK	---
IV00_00029840	SLC40A1	chr7	6337921	6348563	CHECK	---
IV00_00029842	ASNSD1	chr7	6375300	6387319	CHECK	---
IV00_00029843	OSGEPL1	chr7	6385978	6389401	CHECK	---
IV00_00029844	ORMDL1	chr7	6390185	6397091	CHECK	---
IV00_00029901	NABP1	chr7	7034703	7042984	CHECK	---
IV00_00029911	SDPR	chr7	7087365	7095650	CHECK	---
IV00_00030879	TNS	chr7	21377042	21378532	CHECK	---
IV00_00030880	TNS	chr7	21394957	21399480	CHECK	---
IV00_00027059	Unknown	chr8	8593252	8594447	CHECK	---
IV00_00027061	LURAP1	chr8	8613482	8615712	CHECK	---
IV00_00027062	POMGNT1	chr8	8618563	8629787	CHECK	---
IV00_00027208	IPO13	chr8	10009942	10016633	CHECK	---
IV00_00027210	ARTN	chr8	10032907	10033371	CHECK	---
IV00_00027963	SEC16B	chr8	26136150	26160328	---	CHECK
IV00_00028089	Unknown	chr8	27800572	27801004	CHECK	---
IV00_00028576	PRRG3	chr8	33772873	33774180	CHECK	---
IV00_00028577	RIPPLY2	chr8	33781591	33782377	CHECK	---
IV00_00028578	CLDN2	chr8	33785609	33786304	CHECK	---
IV00_00028581	NUP62	chr8	33801715	33802612	CHECK	---
IV00_00028582	RBM41	chr8	33804896	33811710	CHECK	---
IV00_00028768	HMGB3	chr8	37405033	37410938	---	CHECK
IV00_00028829	COL4A6	chr8	38428269	38434660	CHECK	---
IV00_00028830	ATG4A	chr8	38438214	38448331	CHECK	---
IV00_00028831	PSMD10	chr8	38448347	38452471	CHECK	---
IV00_00028833	VSIG1	chr8	38456088	38467725	CHECK	---
IV00_00029037	HS6ST2	chr8	42325022	42328276	CHECK	---
IV00_00029103	MMGT1	chr8	43065055	43067146	CHECK	---
IV00_00029105	SLC9A6	chr8	43075090	43089544	CHECK	---
IV00_00033985	MEGF6	chr9	3443264	3446868	CHECK	---
IV00_00033987	MEGF6	chr9	3451388	3458945	CHECK	---
IV00_00033993	MECOM	chr9	3496595	3500181	CHECK	---
IV00_00033994	MECOM	chr9	3500465	3515046	CHECK	---
IV00_00033998	MECOM	chr9	3524796	3534300	CHECK	---
IV00_00034011	MECOM	chr9	3676572	3679057	CHECK	---
IV00_00034323	ABCC5	chr9	8616183	8618947	CHECK	---
IV00_00034324	ABCC5	chr9	8621967	8645585	CHECK	---
IV00_00034326	RNPEPL1	chr9	8656638	8667230	CHECK	---
IV00_00034327	CAPN10	chr9	8674225	8685610	CHECK	---
IV00_00034328	CYP2J5	chr9	8687416	8696883	CHECK	---
IV00_00034329	CYP2J6	chr9	8702882	8710709	CHECK	---
IV00_00034330	CYP2J2	chr9	8715954	8722474	CHECK	---
IV00_00034331	CYP2J2	chr9	8726994	8738032	CHECK	---
IV00_00034333	CYP2J6	chr9	8747618	8756747	CHECK	---
IV00_00034334	EIF4E2	chr9	8770805	8785030	CHECK	---
IV00_00034821	AP1S3	chr9	16764048	16772901	CHECK	---
IV00_00034827	SCG2	chr9	16809155	16811032	CHECK	---
IV00_00036777	PPIP5K1	chr10	20884036	20912876	---	CHECK
IV00_00036782	MAP1A	chr10	20926918	20940128	---	CHECK
IV00_00036803	TK2	chr11	116210	126161	---	CHECK
IV00_00036807	SLU7	chr11	205973	206218	---	CHECK
IV00_00036808	SLU7	chr11	206319	207632	---	CHECK
IV00_00036811	CDH5	chr11	223699	234767	CHECK	CHECK
IV00_00036818	Unknown	chr11	341680	346110	CHECK	CHECK
IV00_00037062	ZNF536	chr11	5680662	5682875	CHECK	---
IV00_00037371	GNA0	chr11	12147147	12152565	CHECK	---
IV00_00037566	GFOD2	chr11	13913150	13918814	CHECK	---
IV00_00037568	Unknown	chr11	13926327	13929280	CHECK	---
IV00_00037569	CIAPIN1	chr11	13931662	13936994	CHECK	---
IV00_00037570	COQ9	chr11	13940780	13946198	CHECK	---
IV00_00037571	POLR2C	chr11	13946365	13952339	CHECK	---
IV00_00037572	DOK4	chr11	13954830	13957767	CHECK	---
IV00_00037573	CCDC102A	chr11	13960203	13964795	CHECK	---
IV00_00037574	GPR56	chr11	13978723	13980282	CHECK	---
IV00_00037575	GPR56	chr11	13980373	13984942	CHECK	---
IV00_00037994	TANGO6	chr11	19458180	19474485	CHECK	---
IV00_00037995	HAS3	chr11	19477189	19479386	CHECK	---
IV00_00037996	CHTF8	chr11	19480909	19481386	CHECK	---
IV00_00037997	CIRH1A	chr11	19482125	19488236	CHECK	---
IV00_00037998	SNTB2	chr11	19488955	19495408	CHECK	---
IV00_00038238	Unknown	chr12	1401452	1401853	CHECK	---
IV00_00038346	UBA1	chr12	2778652	2786439	---	CHECK
IV00_00038347	AMT	chr12	2787975	2789862	---	CHECK
IV00_00038348	NICN1	chr12	2790594	2793413	---	CHECK
IV00_00038349	DAG1	chr12	2795883	2800253	---	CHECK
IV00_00038370	MST1R	chr12	2988057	2994754	CHECK	---
IV00_00038371	MON1A	chr12	2997794	3000375	CHECK	---
IV00_00038373	RBM6	chr12	3005920	3024023	CHECK	---
IV00_00039826	ZMAT2	chr13	2233174	2239177	CHECK	---
IV00_00039828	HARS	chr13	2243563	2263081	CHECK	---
IV00_00039829	APBB3	chr13	2268531	2275430	CHECK	---
IV00_00039830	ANKHD1	chr13	2276265	2282970	CHECK	---
IV00_00040403	ARSI	chr13	11415092	11417862	CHECK	---
IV00_00040404	Unknown	chr13	11441613	11449936	CHECK	---
IV00_00046959	DAB2IP	chr17	9437185	9444711	CHECK	---
IV00_00046960	DAB2IP	chr17	9446359	9455121	CHECK	---
IV00_00047116	MVB12B	chr17	10834933	10848094	CHECK	---
IV00_00047119	MVB12B	chr17	10877098	10878693	CHECK	---
IV00_00045973	NTN1	chr18	10889920	10891038	CHECK	---
IV00_00047189	CLUH	chr19	384254	404499	CHECK	---
IV00_00047751	LIG3	chr19	5799469	5814087	CHECK	---
IV00_00047752	RFFL	chr19	5816500	5825148	CHECK	---
IV00_00047758	RAD51D	chr19	5846415	5852634	CHECK	---
IV00_00048076	Unknown	chr19	8824125	8824637	---	CHECK
IV00_00048077	LIMK1	chr19	8830708	8837347	---	CHECK
IV00_00048078	SEPT4	chr19	8847580	8855250	---	CHECK
IV00_00048081	SBDS	chr19	8867924	8872792	---	CHECK
IV00_00048083	TYW1	chr19	8875302	8879842	---	CHECK
IV00_00048905	L3MBTL3	chr23	289200	313747	---	CHECK
IV00_00048908	SRSF4	chr23	321062	329340	---	CHECK
IV00_00048911	MECR	chr23	333846	338663	---	CHECK
IV00_00048915	PTPRU	chr23	372058	403001	---	CHECK
IV00_00049072	EPHA10	chr23	3168899	3178115	CHECK	---
IV00_00049277	Unknown	chr23	5494236	5496362	CHECK	---
IV00_00049278	ZNF593	chr23	5496850	5499588	CHECK	---
IV00_00049279	Unknown	chr23	5501067	5501944	CHECK	---
IV00_00049280	FAM110D	chr23	5502568	5503786	CHECK	---
IV00_00049283	PDIK1L	chr23	5510772	5514662	CHECK	---
IV00_00049284	TRIM63	chr23	5520763	5522459	CHECK	---
IV00_00049285	SLC30A2	chr23	5524276	5527891	CHECK	---
IV00_00049286	EXT1C	chr23	5528475	5535056	CHECK	---
IV00_00049287	PAFAH2	chr23	5538853	5541796	CHECK	---
IV00_00049289	STMN1	chr23	5555873	5557484	CHECK	---
IV00_00049290	PAQR7	chr23	5563301	5564385	CHECK	---
IV00_00049292	SEPN1	chr23	5580501	5591186	CHECK	---
IV00_00049293	MAN1C1	chr23	5597194	5614518	CHECK	---
IV00_00049302	TMEM57	chr23	5722346	5728286	CHECK	---
IV00_00049304	RHD	chr23	5742096	5747918	CHECK	---
IV00_00049305	TMEM50A	chr23	5750154	5751368	CHECK	---
IV00_00049306	RSRP1	chr23	5759094	5761694	CHECK	---
IV00_00049307	SYF2	chr23	5762468	5766684	CHECK	---
IV00_00048469	TBCEL	chr24	2485138	2495026	CHECK	---
IV00_00048472	TECTA	chr24	2507674	2527016	CHECK	---
IV00_00048473	SC5D	chr24	2531642	2534681	CHECK	---
IV00_00048474	SORL1	chr24	2548032	2587527	CHECK	---
IV00_00048489	SF3A2	chr24	2740979	2747986	CHECK	---
IV00_00048590	JAM3	chr24	3796935	3802068	CHECK	---
IV00_00048654	SNX19	chr24	4773257	4779783	CHECK	---
IV00_00050618	Unknown	chr27	22729	23858	CHECK	---
IV00_00050714	SCN4A	chr27	1114352	1124065	---	CHECK
IV00_00050718	GH	chr27	1138920	1143206	---	CHECK
IV00_00050809	ARHGAP27	chr27	2012823	2023071	---	CHECK
IV00_00050810	PLEKHM1	chr27	2024676	2040279	---	CHECK
IV00_00021611	APC	chrZ	19667056	19706984	CHECK	---
IV00_00021612	SRP19	chrZ	19721703	19726305	CHECK	---
IV00_00021613	REEP5	chrZ	19732548	19742905	CHECK	---
IV00_00021616	DCP2	chrZ	19759465	19775237	CHECK	---
IV00_00021617	MCC	chrZ	19784419	19786016	CHECK	---
IV00_00021621	YTHDC2	chrZ	20003679	20013549	CHECK	---
IV00_00021626	FAM189A2	chrZ	20059382	20064297	CHECK	---
IV00_00021627	FAM189A2	chrZ	20071244	20072812	CHECK	---
IV00_00021628	APBA1	chrZ	20088366	20093109	CHECK	---
IV00_00021632	ARL14EPL	chrZ	20258366	20259082	CHECK	---
IV00_00021633	COMMD10	chrZ	20272919	20274965	CHECK	---
IV00_00022104	TESK1	chrZ	36866300	36871915	CHECK	---
IV00_00022109	TMEM8B	chrZ	36907853	36912776	CHECK	---
IV00_00022110	HINT2	chrZ	36929962	36930821	CHECK	---
IV00_00022112	NPR2	chrZ	36938270	36943587	CHECK	---
IV00_00022113	MSMP	chrZ	36961009	36962194	CHECK	---
IV00_00022114	RGP1	chrZ	36963892	36973133	CHECK	---
IV00_00022115	GBA2	chrZ	36976867	36990913	CHECK	---
IV00_00022117	AVD	chrZ	37010745	37012188	CHECK	---
IV00_00022119	AVD	chrZ	37018974	37019614	CHECK	---
IV00_00022120	AVD	chrZ	37024972	37029404	CHECK	---
IV00_00022121	CREB3	chrZ	37033116	37037897	CHECK	---
IV00_00022123	TLN1	chrZ	37046248	37073929	CHECK	---
IV00_00022125	TPM3	chrZ	37083167	37091571	CHECK	---
IV00_00022126	APH1A	chrZ	37097927	37100714	CHECK	---
IV00_00022127	CA9	chrZ	37102468	37109904	CHECK	---
IV00_00022131	MRPL17	chrZ	37180185	37180895	CHECK	---
IV00_00022142	ZFR	chrZ	37323376	37353899	CHECK	---
IV00_00022143	SUB1	chrZ	37364176	37374859	CHECK	---
IV00_00022157	TARS	chrZ	37655730	37668954	CHECK	---
IV00_00022160	RXFP3	chrZ	37847417	37848646	CHECK	---
IV00_00022164	PDZD2	chrZ	37882267	37900042	CHECK	---
IV00_00022166	PDZD2	chrZ	37902717	37906862	CHECK	---
IV00_00022179	GOLPH3	chrZ	38111550	38111852	CHECK	---
IV00_00022182	MTMR12	chrZ	38158451	38169582	CHECK	---
IV00_00022183	MTMR12	chrZ	38172504	38179344	CHECK	---
IV00_00022186	SLC45A2	chrZ	38219431	38235003	CHECK	---
IV00_00022187	AMACR	chrZ	38249725	38255470	CHECK	---
IV00_00022188	C1QTNF3	chrZ	38264111	38276578	CHECK	---
IV00_00022197	RAI14	chrZ	38411617	38423081	CHECK	---
IV00_00022199	RAD1	chrZ	38435130	38437585	CHECK	---
IV00_00022201	BRIX1	chrZ	38440135	38443983	CHECK	---
IV00_00022202	DNAJC21	chrZ	38446800	38459235	CHECK	---
IV00_00022203	AGXT2	chrZ	38460029	38473338	CHECK	---
IV00_00051924	Unknown	scaffold00224	468826	469914	CHECK	---
IV00_00051931	S100A11	scaffold00224	509700	512204	CHECK	---
IV00_00051932	COPA	scaffold00224	513268	523809	CHECK	---
IV00_00051935	COPA	scaffold00224	541265	544783	CHECK	---
IV00_00051936	NCSTN	scaffold00224	560037	568677	CHECK	---
IV00_00051937	Unknown	scaffold00224	578341	583559	CHECK	---
IV00_00051939	VANGL2-A	scaffold00224	593669	598698	CHECK	---
IV00_00051941	Unknown	scaffold00224	609546	612331	CHECK	---
IV00_00052168	STRADA	scaffold00239	310711	319980	CHECK	---
IV00_00052171	RNF113A	scaffold00239	322079	326281	CHECK	---
IV00_00052172	LIMD2	scaffold00239	339288	339953	CHECK	---
IV00_00052174	MAP3K3	scaffold00239	347078	358002	CHECK	---
IV00_00052177	MAP3K3	scaffold00239	362924	366769	CHECK	---
IV00_00052179	DCAF7	scaffold00239	390980	395623	CHECK	---
IV00_00052182	KCNH2	scaffold00239	402057	402892	CHECK	---
IV00_00052185	KCNH6	scaffold00239	406254	415419	CHECK	---
IV00_00052190	TANC2	scaffold00239	476282	483218	---	CHECK
IV00_00052192	TANC2	scaffold00239	484024	498806	---	CHECK
