ENSTGUT00000010894.2	chr1	93.590	78	5	0	1078	1155	80900418	80900495	2.31e-23	117
ENSTGUT00000010894.2	chr1	97.059	68	2	0	1154	1221	80901319	80901386	8.31e-23	115
ENSTGUT00000010894.2	chr1	97.101	69	1	1	2117	2184	80946334	80946402	8.31e-23	115
ENSTGUT00000010894.2	chr1	100.000	61	0	0	1821	1881	80928997	80929057	2.99e-22	113
ENSTGUT00000010894.2	chr1	98.333	60	1	0	556	615	80875907	80875966	5.00e-20	106
ENSTGUT00000045867.1	chr1	89.120	2693	182	43	2148	4779	81008875	81011517	0.0	3247
ENSTGUT00000045867.1	chr1	92.683	246	12	5	95	337	80872248	80872490	1.96e-93	350
ENSTGUT00000045867.1	chr1	95.455	176	7	1	404	578	80884117	80884292	2.61e-72	279
ENSTGUT00000045867.1	chr1	100.000	142	0	0	1087	1228	80907489	80907630	2.63e-67	263
ENSTGUT00000045867.1	chr1	95.541	157	7	0	627	783	80885190	80885346	5.69e-64	252
ENSTGUT00000045867.1	chr1	95.302	149	7	0	1360	1508	80927433	80927581	1.59e-59	237
ENSTGUT00000045867.1	chr1	99.231	130	1	0	1675	1804	80941605	80941734	5.73e-59	235
ENSTGUT00000045867.1	chr1	97.015	134	4	0	1227	1360	80916662	80916795	3.45e-56	226
ENSTGUT00000045867.1	chr1	96.875	128	4	0	962	1089	80903828	80903955	7.47e-53	215
ENSTGUT00000045867.1	chr1	96.262	107	4	0	1567	1673	80930471	80930577	3.53e-41	176
ENSTGUT00000045867.1	chr1	96.262	107	4	0	1862	1968	80946941	80947047	3.53e-41	176
ENSTGUT00000045867.1	chr1	97.980	99	2	0	1968	2066	80957137	80957235	4.56e-40	172
ENSTGUT00000045867.1	chr1	96.040	101	4	0	2058	2158	80970321	80970421	7.63e-38	165
ENSTGUT00000045867.1	chr1	95.876	97	4	0	1	97	80871554	80871650	1.28e-35	158
ENSTGUT00000045867.1	chr1	96.512	86	3	0	879	964	80902469	80902554	3.58e-31	143
ENSTGUT00000045867.1	chr1	94.505	91	5	0	778	868	80900418	80900508	1.29e-30	141
ENSTGUT00000045867.1	chr1	96.104	77	3	0	331	407	80876837	80876913	3.60e-26	126
ENSTGUT00000045867.1	chr1	97.101	69	1	1	1802	1869	80946334	80946402	7.79e-23	115
ENSTGUT00000045867.1	chr1	100.000	61	0	0	1506	1566	80928997	80929057	2.80e-22	113
ENSTGUT00000025229.1	chr1	89.120	2693	182	43	2133	4764	81008875	81011517	0.0	3247
ENSTGUT00000025229.1	chr1	93.966	232	9	5	95	324	80872248	80872476	2.53e-92	346
ENSTGUT00000025229.1	chr1	94.975	199	10	0	570	768	80885148	80885346	2.57e-82	313
ENSTGUT00000025229.1	chr1	95.930	172	7	0	398	569	80884117	80884288	2.60e-72	279
ENSTGUT00000025229.1	chr1	100.000	142	0	0	1072	1213	80907489	80907630	2.62e-67	263
ENSTGUT00000025229.1	chr1	95.302	149	7	0	1345	1493	80927433	80927581	1.59e-59	237
ENSTGUT00000025229.1	chr1	99.231	130	1	0	1660	1789	80941605	80941734	5.72e-59	235
ENSTGUT00000025229.1	chr1	97.015	134	4	0	1212	1345	80916662	80916795	3.44e-56	226
ENSTGUT00000025229.1	chr1	96.875	128	4	0	947	1074	80903828	80903955	7.45e-53	215
ENSTGUT00000025229.1	chr1	96.262	107	4	0	1552	1658	80930471	80930577	3.51e-41	176
ENSTGUT00000025229.1	chr1	96.262	107	4	0	1847	1953	80946941	80947047	3.51e-41	176
ENSTGUT00000025229.1	chr1	97.980	99	2	0	1953	2051	80957137	80957235	4.55e-40	172
ENSTGUT00000025229.1	chr1	96.040	101	4	0	2043	2143	80970321	80970421	7.61e-38	165
ENSTGUT00000025229.1	chr1	95.876	97	4	0	1	97	80871554	80871650	1.27e-35	158
ENSTGUT00000025229.1	chr1	96.512	86	3	0	864	949	80902469	80902554	3.56e-31	143
ENSTGUT00000025229.1	chr1	94.505	91	5	0	763	853	80900418	80900508	1.28e-30	141
ENSTGUT00000025229.1	chr1	96.104	77	3	0	325	401	80876837	80876913	3.59e-26	126
ENSTGUT00000025229.1	chr1	97.101	69	1	1	1787	1854	80946334	80946402	7.77e-23	115
ENSTGUT00000025229.1	chr1	100.000	61	0	0	1491	1551	80928997	80929057	2.79e-22	113
ENSTGUT00000045010.1	chrZ	86.080	3865	359	88	326	4119	61175606	61171850	0.0	3991
ENSTGUT00000045010.1	chrZ	98.969	97	1	0	128	224	61178801	61178705	1.09e-40	174
ENSTGUT00000045010.1	chrZ	95.283	106	5	0	224	329	61176652	61176547	5.08e-39	169
ENSTGUT00000045010.1	chrZ	100.000	30	0	0	1	30	61182176	61182147	4.13e-05	56.5
ENSTGUT00000003914.2	scaffold01715	96.635	208	7	0	1673	1880	221	14	1.22e-92	346
ENSTGUT00000003914.2	scaffold01715	82.566	304	29	4	1285	1588	759	480	1.27e-62	246
ENSTGUT00000003914.2	scaffold01715	98.837	86	1	0	1589	1674	388	303	7.92e-35	154
ENSTGUT00000008351.2	chr11	96.190	945	36	0	1	945	19411350	19412294	0.0	1546
RedJunglefowl_Chr10_Pos15038239_±1Kb	chr10	85.859	297	30	10	218	506	16157442	16157734	1.79e-80	305
