Sample_ID_1	Sample_ID_2	Population_1	Population_2	CHRType	K	Value
57	Crotone505	Crotone500	Crotone	Crotone	Allosome	K = 2	0.11638
58	Crotone505	Crotone502	Crotone	Crotone	Allosome	K = 2	0.043095
59	Crotone505	Crotone501	Crotone	Crotone	Allosome	K = 2	0.066442
60	Crotone505	Crotone514	Crotone	Crotone	Allosome	K = 2	0.085375
61	Crotone505	Crotone498	Crotone	Crotone	Allosome	K = 2	0.070251
62	Crotone505	Crotone512	Crotone	Crotone	Allosome	K = 2	0.089267
63	Crotone505	FR046	Crotone	Error	Allosome	K = 2	-0.021558
64	Crotone505	FR049	Crotone	Error	Allosome	K = 2	-0.05329
65	Crotone505	FR051	Crotone	Error	Allosome	K = 2	-0.022482
66	Crotone505	FR063	Crotone	Error	Allosome	K = 2	-0.062794
67	Crotone505	FR064	Crotone	Error	Allosome	K = 2	-0.058955
68	Crotone505	Guglionesi_433	Crotone	Guglionesi	Allosome	K = 2	-0.031392
69	Crotone505	Guglionesi_426	Crotone	Guglionesi	Allosome	K = 2	0.060646
70	Crotone505	Guglionesi_431	Crotone	Guglionesi	Allosome	K = 2	0.054482
71	Crotone505	Guglionesi_336	Crotone	Guglionesi	Allosome	K = 2	0.037878
72	Crotone505	Guglionesi_428	Crotone	Guglionesi	Allosome	K = 2	0.04232
73	Crotone505	Guglionesi_429	Crotone	Guglionesi	Allosome	K = 2	0.025433
74	Crotone505	Guglionesi_434	Crotone	Guglionesi	Allosome	K = 2	-0.051271
75	Crotone505	Guglionesi_435	Crotone	Guglionesi	Allosome	K = 2	-0.003916
76	Crotone505	Guglionesi_427	Crotone	Guglionesi	Allosome	K = 2	0.048021
77	Crotone505	Guglionesi_432	Crotone	Guglionesi	Allosome	K = 2	0.008584
78	Crotone505	KAZ14001	Crotone	Error	Allosome	K = 2	-0.035011
79	Crotone505	KAZ14003	Crotone	Error	Allosome	K = 2	-0.028488
80	Crotone505	KAZ14032	Crotone	Error	Allosome	K = 2	0.025327
81	Crotone505	KAZ14035	Crotone	Error	Allosome	K = 2	-0.020003
82	Crotone505	KAZ14053	Crotone	Error	Allosome	K = 2	0.02585
83	Crotone505	KAZ14054	Crotone	Error	Allosome	K = 2	7.8e-05
84	Crotone505	KAZ14055	Crotone	Error	Allosome	K = 2	-0.031138
85	Crotone505	KAZ14057	Crotone	Error	Allosome	K = 2	0.013603
86	Crotone505	KAZ14059	Crotone	Error	Allosome	K = 2	-0.017161
87	Crotone505	KAZ14061	Crotone	Error	Allosome	K = 2	0.010026
88	Crotone505	Lesina_280	Crotone	Lesina	Allosome	K = 2	-0.047683
89	Crotone505	Lesina_281	Crotone	Lesina	Allosome	K = 2	-0.011768
90	Crotone505	Lesina_282	Crotone	Lesina	Allosome	K = 2	-0.057791
91	Crotone505	Lesina_285	Crotone	Lesina	Allosome	K = 2	-0.009849
92	Crotone505	Lesina_286	Crotone	Lesina	Allosome	K = 2	-0.033901
93	Crotone505	Lesina_287	Crotone	Lesina	Allosome	K = 2	-0.038037
94	Crotone505	Lesina_288	Crotone	Lesina	Allosome	K = 2	-0.035732
95	Crotone505	Lesina_289	Crotone	Lesina	Allosome	K = 2	-0.029894
96	Crotone505	Lesina_292	Crotone	Lesina	Allosome	K = 2	0.008852
97	Crotone505	Lesina_295	Crotone	Lesina	Allosome	K = 2	-0.03531
98	Crotone505	PDOM2022NLD0042M	Crotone	Error	Allosome	K = 2	-0.022812
99	Crotone505	PDOM2022NLD0044M	Crotone	Error	Allosome	K = 2	-0.043897
100	Crotone505	PDOM2022NLD0045M	Crotone	Error	Allosome	K = 2	-0.020008
101	Crotone505	PDOM2022NLD0046M	Crotone	Error	Allosome	K = 2	-0.028613
102	Crotone505	PDOM2022NLD0072M	Crotone	Error	Allosome	K = 2	-0.027901
103	Crotone505	PDOM2022NLD0077M	Crotone	Error	Allosome	K = 2	-0.014043
104	Crotone505	PI22NLD0001M	Crotone	Error	Allosome	K = 2	-0.034889
105	Crotone518	Crotone517	Crotone	Crotone	Allosome	K = 2	0.081924
106	Crotone518	Crotone505	Crotone	Crotone	Allosome	K = 2	0.081924
107	Crotone518	Crotone518	Crotone	Crotone	Allosome	K = 2	NA
108	Crotone518	Crotone510	Crotone	Crotone	Allosome	K = 2	0.156339
109	Crotone518	Crotone500	Crotone	Crotone	Allosome	K = 2	0.105758
110	Crotone518	Crotone502	Crotone	Crotone	Allosome	K = 2	0.129572
111	Crotone518	Crotone501	Crotone	Crotone	Allosome	K = 2	0.048334
112	Crotone518	Crotone514	Crotone	Crotone	Allosome	K = 2	0.057872
113	Crotone518	Crotone498	Crotone	Crotone	Allosome	K = 2	0.053555
114	Crotone518	Crotone512	Crotone	Crotone	Allosome	K = 2	0.065542
115	Crotone518	FR046	Crotone	Error	Allosome	K = 2	-0.078071
116	Crotone518	FR049	Crotone	Error	Allosome	K = 2	-0.037036
117	Crotone518	FR051	Crotone	Error	Allosome	K = 2	-0.074058
118	Crotone518	FR063	Crotone	Error	Allosome	K = 2	-0.043954
119	Crotone518	FR064	Crotone	Error	Allosome	K = 2	0.005544
120	Crotone518	Guglionesi_433	Crotone	Guglionesi	Allosome	K = 2	0.050002
121	Crotone518	Guglionesi_426	Crotone	Guglionesi	Allosome	K = 2	0.017274
122	Crotone518	Guglionesi_431	Crotone	Guglionesi	Allosome	K = 2	0.058715
123	Crotone518	Guglionesi_336	Crotone	Guglionesi	Allosome	K = 2	0.002027
124	Crotone518	Guglionesi_428	Crotone	Guglionesi	Allosome	K = 2	0.031824
125	Crotone518	Guglionesi_429	Crotone	Guglionesi	Allosome	K = 2	0.054351
126	Crotone518	Guglionesi_434	Crotone	Guglionesi	Allosome	K = 2	0.048845
127	Crotone518	Guglionesi_435	Crotone	Guglionesi	Allosome	K = 2	0.063197
128	Crotone518	Guglionesi_427	Crotone	Guglionesi	Allosome	K = 2	0.03239
129	Crotone518	Guglionesi_432	Crotone	Guglionesi	Allosome	K = 2	-0.005129
130	Crotone518	KAZ14001	Crotone	Error	Allosome	K = 2	-0.013632
131	Crotone518	KAZ14003	Crotone	Error	Allosome	K = 2	-0.066476
132	Crotone518	KAZ14032	Crotone	Error	Allosome	K = 2	-0.037304
133	Crotone518	KAZ14035	Crotone	Error	Allosome	K = 2	-0.012082
134	Crotone518	KAZ14053	Crotone	Error	Allosome	K = 2	-0.032649
135	Crotone518	KAZ14054	Crotone	Error	Allosome	K = 2	0.034855
136	Crotone518	KAZ14055	Crotone	Error	Allosome	K = 2	-0.027309
137	Crotone518	KAZ14057	Crotone	Error	Allosome	K = 2	0.017177
138	Crotone518	KAZ14059	Crotone	Error	Allosome	K = 2	-0.013105
139	Crotone518	KAZ14061	Crotone	Error	Allosome	K = 2	0.024328
140	Crotone518	Lesina_280	Crotone	Lesina	Allosome	K = 2	-0.035982
141	Crotone518	Lesina_281	Crotone	Lesina	Allosome	K = 2	-0.056863
142	Crotone518	Lesina_282	Crotone	Lesina	Allosome	K = 2	-0.037389
143	Crotone518	Lesina_285	Crotone	Lesina	Allosome	K = 2	-0.016539
144	Crotone518	Lesina_286	Crotone	Lesina	Allosome	K = 2	-0.025637
145	Crotone518	Lesina_287	Crotone	Lesina	Allosome	K = 2	-0.078888
146	Crotone518	Lesina_288	Crotone	Lesina	Allosome	K = 2	-0.040573
147	Crotone518	Lesina_289	Crotone	Lesina	Allosome	K = 2	-0.038435
148	Crotone518	Lesina_292	Crotone	Lesina	Allosome	K = 2	-0.015124
149	Crotone518	Lesina_295	Crotone	Lesina	Allosome	K = 2	-0.049102
150	Crotone518	PDOM2022NLD0042M	Crotone	Error	Allosome	K = 2	-0.036192
151	Crotone518	PDOM2022NLD0044M	Crotone	Error	Allosome	K = 2	-0.022227
152	Crotone518	PDOM2022NLD0045M	Crotone	Error	Allosome	K = 2	-0.02568
153	Crotone518	PDOM2022NLD0046M	Crotone	Error	Allosome	K = 2	-0.056886
154	Crotone518	PDOM2022NLD0072M	Crotone	Error	Allosome	K = 2	-0.034342
155	Crotone518	PDOM2022NLD0077M	Crotone	Error	Allosome	K = 2	-0.041544
156	Crotone518	PI22NLD0001M	Crotone	Error	Allosome	K = 2	-0.052307
157	Crotone510	Crotone517	Crotone	Crotone	Allosome	K = 2	0.081924
158	Crotone510	Crotone505	Crotone	Crotone	Allosome	K = 2	0.081924
159	Crotone510	Crotone518	Crotone	Crotone	Allosome	K = 2	0.081924
160	Crotone510	Crotone510	Crotone	Crotone	Allosome	K = 2	NA
161	Crotone510	Crotone500	Crotone	Crotone	Allosome	K = 2	0.149127
162	Crotone510	Crotone502	Crotone	Crotone	Allosome	K = 2	0.049748
163	Crotone510	Crotone501	Crotone	Crotone	Allosome	K = 2	0.051944
164	Crotone510	Crotone514	Crotone	Crotone	Allosome	K = 2	0.141391
165	Crotone510	Crotone498	Crotone	Crotone	Allosome	K = 2	0.123912
166	Crotone510	Crotone512	Crotone	Crotone	Allosome	K = 2	0.045145
167	Crotone510	FR046	Crotone	Error	Allosome	K = 2	-0.079837
168	Crotone510	FR049	Crotone	Error	Allosome	K = 2	-0.046937
169	Crotone510	FR051	Crotone	Error	Allosome	K = 2	-0.067352
170	Crotone510	FR063	Crotone	Error	Allosome	K = 2	-0.07468
171	Crotone510	FR064	Crotone	Error	Allosome	K = 2	-0.072452
172	Crotone510	Guglionesi_433	Crotone	Guglionesi	Allosome	K = 2	0.005215
173	Crotone510	Guglionesi_426	Crotone	Guglionesi	Allosome	K = 2	0.024874
174	Crotone510	Guglionesi_431	Crotone	Guglionesi	Allosome	K = 2	0.05294
175	Crotone510	Guglionesi_336	Crotone	Guglionesi	Allosome	K = 2	0.048626
176	Crotone510	Guglionesi_428	Crotone	Guglionesi	Allosome	K = 2	0.011174
177	Crotone510	Guglionesi_429	Crotone	Guglionesi	Allosome	K = 2	0.007701
178	Crotone510	Guglionesi_434	Crotone	Guglionesi	Allosome	K = 2	-0.000377
179	Crotone510	Guglionesi_435	Crotone	Guglionesi	Allosome	K = 2	0.069676
180	Crotone510	Guglionesi_427	Crotone	Guglionesi	Allosome	K = 2	0.068061
181	Crotone510	Guglionesi_432	Crotone	Guglionesi	Allosome	K = 2	0.031933
182	Crotone510	KAZ14001	Crotone	Error	Allosome	K = 2	-0.027695
183	Crotone510	KAZ14003	Crotone	Error	Allosome	K = 2	-0.070899
184	Crotone510	KAZ14032	Crotone	Error	Allosome	K = 2	0.010944
185	Crotone510	KAZ14035	Crotone	Error	Allosome	K = 2	-0.014993
186	Crotone510	KAZ14053	Crotone	Error	Allosome	K = 2	0.043959
187	Crotone510	KAZ14054	Crotone	Error	Allosome	K = 2	0.005298
188	Crotone510	KAZ14055	Crotone	Error	Allosome	K = 2	-0.031065
189	Crotone510	KAZ14057	Crotone	Error	Allosome	K = 2	-0.021898
190	Crotone510	KAZ14059	Crotone	Error	Allosome	K = 2	-0.010457
191	Crotone510	KAZ14061	Crotone	Error	Allosome	K = 2	0.024538
192	Crotone510	Lesina_280	Crotone	Lesina	Allosome	K = 2	-0.070748
193	Crotone510	Lesina_281	Crotone	Lesina	Allosome	K = 2	-0.010759
194	Crotone510	Lesina_282	Crotone	Lesina	Allosome	K = 2	-0.065304
195	Crotone510	Lesina_285	Crotone	Lesina	Allosome	K = 2	0.01771
196	Crotone510	Lesina_286	Crotone	Lesina	Allosome	K = 2	-0.031678
197	Crotone510	Lesina_287	Crotone	Lesina	Allosome	K = 2	-0.073827
198	Crotone510	Lesina_288	Crotone	Lesina	Allosome	K = 2	-0.083637
199	Crotone510	Lesina_289	Crotone	Lesina	Allosome	K = 2	-0.03648
200	Crotone510	Lesina_292	Crotone	Lesina	Allosome	K = 2	-0.067202
201	Crotone510	Lesina_295	Crotone	Lesina	Allosome	K = 2	-0.037683
202	Crotone510	PDOM2022NLD0042M	Crotone	Error	Allosome	K = 2	-0.053505
203	Crotone510	PDOM2022NLD0044M	Crotone	Error	Allosome	K = 2	-0.010377
204	Crotone510	PDOM2022NLD0045M	Crotone	Error	Allosome	K = 2	-0.034553
205	Crotone510	PDOM2022NLD0046M	Crotone	Error	Allosome	K = 2	-0.053609
206	Crotone510	PDOM2022NLD0072M	Crotone	Error	Allosome	K = 2	0.015366
207	Crotone510	PDOM2022NLD0077M	Crotone	Error	Allosome	K = 2	-0.046952
208	Crotone510	PI22NLD0001M	Crotone	Error	Allosome	K = 2	-0.027517
209	Crotone500	Crotone517	Crotone	Crotone	Allosome	K = 2	0.081924
210	Crotone500	Crotone505	Crotone	Crotone	Allosome	K = 2	0.081924
211	Crotone500	Crotone518	Crotone	Crotone	Allosome	K = 2	0.081924
212	Crotone500	Crotone510	Crotone	Crotone	Allosome	K = 2	0.081924
213	Crotone500	Crotone500	Crotone	Crotone	Allosome	K = 2	NA
214	Crotone500	Crotone502	Crotone	Crotone	Allosome	K = 2	0.082379
215	Crotone500	Crotone501	Crotone	Crotone	Allosome	K = 2	0.087083
216	Crotone500	Crotone514	Crotone	Crotone	Allosome	K = 2	0.076439
217	Crotone500	Crotone498	Crotone	Crotone	Allosome	K = 2	0.072479
218	Crotone500	Crotone512	Crotone	Crotone	Allosome	K = 2	0.076075
219	Crotone500	FR046	Crotone	Error	Allosome	K = 2	-0.068828
220	Crotone500	FR049	Crotone	Error	Allosome	K = 2	-0.075054
221	Crotone500	FR051	Crotone	Error	Allosome	K = 2	-0.071407
222	Crotone500	FR063	Crotone	Error	Allosome	K = 2	-0.038061
223	Crotone500	FR064	Crotone	Error	Allosome	K = 2	-0.053052
224	Crotone500	Guglionesi_433	Crotone	Guglionesi	Allosome	K = 2	0.024225
225	Crotone500	Guglionesi_426	Crotone	Guglionesi	Allosome	K = 2	0.031151
226	Crotone500	Guglionesi_431	Crotone	Guglionesi	Allosome	K = 2	0.033412
227	Crotone500	Guglionesi_336	Crotone	Guglionesi	Allosome	K = 2	0.036146
228	Crotone500	Guglionesi_428	Crotone	Guglionesi	Allosome	K = 2	0.022449
229	Crotone500	Guglionesi_429	Crotone	Guglionesi	Allosome	K = 2	0.004093
230	Crotone500	Guglionesi_434	Crotone	Guglionesi	Allosome	K = 2	0.010363
231	Crotone500	Guglionesi_435	Crotone	Guglionesi	Allosome	K = 2	0.014849
232	Crotone500	Guglionesi_427	Crotone	Guglionesi	Allosome	K = 2	0.081253
233	Crotone500	Guglionesi_432	Crotone	Guglionesi	Allosome	K = 2	-0.009435
234	Crotone500	KAZ14001	Crotone	Error	Allosome	K = 2	-0.057654
235	Crotone500	KAZ14003	Crotone	Error	Allosome	K = 2	-0.037492
236	Crotone500	KAZ14032	Crotone	Error	Allosome	K = 2	0.04085
237	Crotone500	KAZ14035	Crotone	Error	Allosome	K = 2	0.012977
238	Crotone500	KAZ14053	Crotone	Error	Allosome	K = 2	0.001164
239	Crotone500	KAZ14054	Crotone	Error	Allosome	K = 2	-0.026751
240	Crotone500	KAZ14055	Crotone	Error	Allosome	K = 2	0.024071
241	Crotone500	KAZ14057	Crotone	Error	Allosome	K = 2	-0.017813
242	Crotone500	KAZ14059	Crotone	Error	Allosome	K = 2	-0.013732
243	Crotone500	KAZ14061	Crotone	Error	Allosome	K = 2	-0.016095
244	Crotone500	Lesina_280	Crotone	Lesina	Allosome	K = 2	-0.072267
245	Crotone500	Lesina_281	Crotone	Lesina	Allosome	K = 2	-0.036402
246	Crotone500	Lesina_282	Crotone	Lesina	Allosome	K = 2	-0.057221
247	Crotone500	Lesina_285	Crotone	Lesina	Allosome	K = 2	0.027589
248	Crotone500	Lesina_286	Crotone	Lesina	Allosome	K = 2	-0.054212
249	Crotone500	Lesina_287	Crotone	Lesina	Allosome	K = 2	-0.009901
250	Crotone500	Lesina_288	Crotone	Lesina	Allosome	K = 2	-0.053603
251	Crotone500	Lesina_289	Crotone	Lesina	Allosome	K = 2	-0.074707
252	Crotone500	Lesina_292	Crotone	Lesina	Allosome	K = 2	-0.033362
253	Crotone500	Lesina_295	Crotone	Lesina	Allosome	K = 2	-0.019951
254	Crotone500	PDOM2022NLD0042M	Crotone	Error	Allosome	K = 2	-0.03889
255	Crotone500	PDOM2022NLD0044M	Crotone	Error	Allosome	K = 2	-0.013953
256	Crotone500	PDOM2022NLD0045M	Crotone	Error	Allosome	K = 2	-0.040148
257	Crotone500	PDOM2022NLD0046M	Crotone	Error	Allosome	K = 2	-0.052016
258	Crotone500	PDOM2022NLD0072M	Crotone	Error	Allosome	K = 2	0.001883
259	Crotone500	PDOM2022NLD0077M	Crotone	Error	Allosome	K = 2	-0.045212
260	Crotone500	PI22NLD0001M	Crotone	Error	Allosome	K = 2	-0.033274
261	Crotone502	Crotone517	Crotone	Crotone	Allosome	K = 2	0.081924
262	Crotone502	Crotone505	Crotone	Crotone	Allosome	K = 2	0.081924
263	Crotone502	Crotone518	Crotone	Crotone	Allosome	K = 2	0.081924
264	Crotone502	Crotone510	Crotone	Crotone	Allosome	K = 2	0.081924
265	Crotone502	Crotone500	Crotone	Crotone	Allosome	K = 2	0.081924
266	Crotone502	Crotone502	Crotone	Crotone	Allosome	K = 2	NA
267	Crotone502	Crotone501	Crotone	Crotone	Allosome	K = 2	0.089133
268	Crotone502	Crotone514	Crotone	Crotone	Allosome	K = 2	0.115144
269	Crotone502	Crotone498	Crotone	Crotone	Allosome	K = 2	0.038967
270	Crotone502	Crotone512	Crotone	Crotone	Allosome	K = 2	0.114119
271	Crotone502	FR046	Crotone	Error	Allosome	K = 2	-0.0576
272	Crotone502	FR049	Crotone	Error	Allosome	K = 2	-0.103817
273	Crotone502	FR051	Crotone	Error	Allosome	K = 2	-0.088363
274	Crotone502	FR063	Crotone	Error	Allosome	K = 2	-0.042952
275	Crotone502	FR064	Crotone	Error	Allosome	K = 2	-0.061768
276	Crotone502	Guglionesi_433	Crotone	Guglionesi	Allosome	K = 2	0.00463
277	Crotone502	Guglionesi_426	Crotone	Guglionesi	Allosome	K = 2	0.021
278	Crotone502	Guglionesi_431	Crotone	Guglionesi	Allosome	K = 2	0.072829
279	Crotone502	Guglionesi_336	Crotone	Guglionesi	Allosome	K = 2	0.059207
280	Crotone502	Guglionesi_428	Crotone	Guglionesi	Allosome	K = 2	-0.040692
281	Crotone502	Guglionesi_429	Crotone	Guglionesi	Allosome	K = 2	0.011651
282	Crotone502	Guglionesi_434	Crotone	Guglionesi	Allosome	K = 2	0.034003
283	Crotone502	Guglionesi_435	Crotone	Guglionesi	Allosome	K = 2	0.084427
284	Crotone502	Guglionesi_427	Crotone	Guglionesi	Allosome	K = 2	0.052972
285	Crotone502	Guglionesi_432	Crotone	Guglionesi	Allosome	K = 2	-0.041524
286	Crotone502	KAZ14001	Crotone	Error	Allosome	K = 2	0.018143
287	Crotone502	KAZ14003	Crotone	Error	Allosome	K = 2	-0.033445
288	Crotone502	KAZ14032	Crotone	Error	Allosome	K = 2	0.061334
289	Crotone502	KAZ14035	Crotone	Error	Allosome	K = 2	-0.028489
290	Crotone502	KAZ14053	Crotone	Error	Allosome	K = 2	0.015269
291	Crotone502	KAZ14054	Crotone	Error	Allosome	K = 2	0.014933
292	Crotone502	KAZ14055	Crotone	Error	Allosome	K = 2	-0.04448
293	Crotone502	KAZ14057	Crotone	Error	Allosome	K = 2	0.020016
294	Crotone502	KAZ14059	Crotone	Error	Allosome	K = 2	0.015394
295	Crotone502	KAZ14061	Crotone	Error	Allosome	K = 2	-0.048607
296	Crotone502	Lesina_280	Crotone	Lesina	Allosome	K = 2	0.001205
297	Crotone502	Lesina_281	Crotone	Lesina	Allosome	K = 2	-0.051113
298	Crotone502	Lesina_282	Crotone	Lesina	Allosome	K = 2	-0.049299
299	Crotone502	Lesina_285	Crotone	Lesina	Allosome	K = 2	-0.004977
300	Crotone502	Lesina_286	Crotone	Lesina	Allosome	K = 2	-0.01303
301	Crotone502	Lesina_287	Crotone	Lesina	Allosome	K = 2	-0.02899
302	Crotone502	Lesina_288	Crotone	Lesina	Allosome	K = 2	-0.100125
303	Crotone502	Lesina_289	Crotone	Lesina	Allosome	K = 2	-0.050619
304	Crotone502	Lesina_292	Crotone	Lesina	Allosome	K = 2	-0.07115
305	Crotone502	Lesina_295	Crotone	Lesina	Allosome	K = 2	-0.036101
306	Crotone502	PDOM2022NLD0042M	Crotone	Error	Allosome	K = 2	-0.005326
307	Crotone502	PDOM2022NLD0044M	Crotone	Error	Allosome	K = 2	-0.032651
308	Crotone502	PDOM2022NLD0045M	Crotone	Error	Allosome	K = 2	0.017482
309	Crotone502	PDOM2022NLD0046M	Crotone	Error	Allosome	K = 2	-0.03662
310	Crotone502	PDOM2022NLD0072M	Crotone	Error	Allosome	K = 2	-0.041625
311	Crotone502	PDOM2022NLD0077M	Crotone	Error	Allosome	K = 2	-0.049421
312	Crotone502	PI22NLD0001M	Crotone	Error	Allosome	K = 2	-0.038926
313	Crotone501	Crotone517	Crotone	Crotone	Allosome	K = 2	0.081924
314	Crotone501	Crotone505	Crotone	Crotone	Allosome	K = 2	0.081924
315	Crotone501	Crotone518	Crotone	Crotone	Allosome	K = 2	0.081924
316	Crotone501	Crotone510	Crotone	Crotone	Allosome	K = 2	0.081924
317	Crotone501	Crotone500	Crotone	Crotone	Allosome	K = 2	0.081924
318	Crotone501	Crotone502	Crotone	Crotone	Allosome	K = 2	0.081924
319	Crotone501	Crotone501	Crotone	Crotone	Allosome	K = 2	NA
320	Crotone501	Crotone514	Crotone	Crotone	Allosome	K = 2	0.11086
321	Crotone501	Crotone498	Crotone	Crotone	Allosome	K = 2	0.130852
322	Crotone501	Crotone512	Crotone	Crotone	Allosome	K = 2	0.032478
323	Crotone501	FR046	Crotone	Error	Allosome	K = 2	-0.018579
324	Crotone501	FR049	Crotone	Error	Allosome	K = 2	-0.069441
325	Crotone501	FR051	Crotone	Error	Allosome	K = 2	-0.061558
326	Crotone501	FR063	Crotone	Error	Allosome	K = 2	-0.082785
327	Crotone501	FR064	Crotone	Error	Allosome	K = 2	-0.050399
328	Crotone501	Guglionesi_433	Crotone	Guglionesi	Allosome	K = 2	0.016907
329	Crotone501	Guglionesi_426	Crotone	Guglionesi	Allosome	K = 2	0.025743
330	Crotone501	Guglionesi_431	Crotone	Guglionesi	Allosome	K = 2	0.026265
331	Crotone501	Guglionesi_336	Crotone	Guglionesi	Allosome	K = 2	0.032753
332	Crotone501	Guglionesi_428	Crotone	Guglionesi	Allosome	K = 2	0.007579
333	Crotone501	Guglionesi_429	Crotone	Guglionesi	Allosome	K = 2	0.019642
334	Crotone501	Guglionesi_434	Crotone	Guglionesi	Allosome	K = 2	-0.009593
335	Crotone501	Guglionesi_435	Crotone	Guglionesi	Allosome	K = 2	0.020108
336	Crotone501	Guglionesi_427	Crotone	Guglionesi	Allosome	K = 2	0.033424
337	Crotone501	Guglionesi_432	Crotone	Guglionesi	Allosome	K = 2	0.012902
338	Crotone501	KAZ14001	Crotone	Error	Allosome	K = 2	0.036314
339	Crotone501	KAZ14003	Crotone	Error	Allosome	K = 2	0.004122
340	Crotone501	KAZ14032	Crotone	Error	Allosome	K = 2	0.015881
341	Crotone501	KAZ14035	Crotone	Error	Allosome	K = 2	-0.028896
342	Crotone501	KAZ14053	Crotone	Error	Allosome	K = 2	0.029666
